Rank,State, 2010_Population , 2018_Population , Current_Population ,Growth_Since_2010,Growth_Since_2018,Percent_of_Total_Population,Population_Density
1,CA,37320900,39557000,39937500,0.0701,0.0096,0.1194,256.3728
2,TX,25242700,28701800,29472300,0.1676,0.0268,0.0881,112.8204
3,FL,18845800,21299300,21993000,0.1670,0.0326,0.0658,410.1259
4,NY,19400100,19542200,19440500,0.0021,-0.0052,0.0581,412.5218
5,PA,12711200,12807100,12820900,0.0086,0.0011,0.0383,286.5454
6,IL,12840800,12741100,12659700,-0.0141,-0.0064,0.0379,228.0246
7,OH,11539300,11689400,11747700,0.0181,0.0050,0.0351,287.504
8,GA,9711810,10519500,10736100,0.1055,0.0206,0.0321,186.6726
9,NC,9574290,10383600,10611900,0.1084,0.0220,0.0317,218.271
10,MI,9877540,9995920,10045000,0.0170,0.0049,0.0300,177.665
11,NJ,8799620,8908520,8936570,0.0156,0.0031,0.0267,1215.1985
12,VA,8023680,8517680,8626210,0.0751,0.0127,0.0258,218.4404
13,WA,6742900,7535590,7797100,0.1563,0.0347,0.0233,117.3273
14,AZ,6407770,7171650,7378490,0.1515,0.0288,0.0221,64.9549
15,MA,6566430,6902150,6976600,0.0625,0.0108,0.0209,894.4359
16,TN,6355300,6770010,6897580,0.0853,0.0188,0.0206,167.2749
17,IN,6490440,6691880,6745350,0.0393,0.0080,0.0202,188.2809
18,MO,5995980,6126450,6169270,0.0289,0.0070,0.0185,89.7453
19,MD,5788640,6042720,6083120,0.0509,0.0067,0.0182,626.6735
20,WI,5690480,5813570,5851750,0.0283,0.0066,0.0175,108.0496
21,CO,5048280,5695560,5845530,0.1579,0.0263,0.0175,56.4012
22,MN,5310840,5611180,5700670,0.0734,0.0159,0.0170,71.5922
23,SC,4635660,5084130,5210100,0.1239,0.0248,0.0156,173.3176
24,AL,4785450,4887870,4908620,0.0257,0.0042,0.0147,96.9221
25,LA,4544530,4659980,4645180,0.0221,-0.0032,0.0139,107.5174
26,KY,4348200,4468400,4499690,0.0348,0.0070,0.0135,113.9566
27,OR,3837530,4190710,4301090,0.1208,0.0263,0.0129,44.8086
28,OK,3759630,3943080,3954820,0.0519,0.0030,0.0118,57.6546
29,CT,3579120,3572660,3563080,-0.0045,-0.0027,0.0107,735.8695
30,UT,2775330,3161100,3282120,0.1826,0.0383,0.0098,39.943
31,IA,3050770,3156140,3179850,0.0423,0.0075,0.0095,56.9284
32,NV,2702460,3034390,3139660,0.1618,0.0347,0.0094,28.5993
33,AR,2921980,3013820,3039000,0.0400,0.0084,0.0091,58.403
34,PR,3721520,3195150,3032160,-0.1852,-0.0510,0.0091,876.6002
35,MS,2970540,2986530,2989260,0.0063,0.0009,0.0089,63.7056
36,KS,2858210,2911500,2910360,0.0182,-0.0004,0.0087,35.5968
37,NM,2064590,2095430,2096640,0.0155,0.0006,0.0063,17.285
38,NE,1829540,1929270,1952570,0.0672,0.0121,0.0058,25.4161
39,ID,1570770,1754210,1826160,0.1626,0.0410,0.0055,22.097
40,WV,1854210,1805830,1778070,-0.0411,-0.0154,0.0053,73.9691
41,HI,1363960,1420490,1412690,0.0357,-0.0055,0.0042,219.9424
42,NH,1316780,1356460,1371250,0.0414,0.0109,0.0041,153.161
43,ME,1327630,1338400,1345790,0.0137,0.0055,0.0040,43.6336
44,MT,990722,1062300,1086760,0.0969,0.0230,0.0033,7.4668
45,RI,1053940,1057320,1056160,0.0021,-0.0011,0.0032,1021.4313
46,DE,899595,967171,982895,0.0926,0.0163,0.0029,504.3073
47,SD,816165,882235,903027,0.1064,0.0236,0.0027,11.9116
48,ND,674710,760077,761723,0.1290,0.0022,0.0023,11.0393
49,AK,713906,737438,734002,0.0281,-0.0047,0.0022,1.2863
50,DC,605085,702455,720687,0.1911,0.0260,0.0022,11814.541
51,VT,625880,626299,628061,0.0035,0.0028,0.0019,68.1416
52,WY,564483,577737,567025,0.0045,-0.0185,0.0017,5.84
